Semester,Campus,CRN,Course,Section #,Capacity,Enrollment,Faculty,Faculty IDs
Fall 2020,Online,18513,CY 5210,1,30,28,"Booker, Elton",90
Fall 2020,Online,18514,CY 5250,1,30,8,"Papageorge, Themis",572
Fall 2020,Boston,18521,CS 3800,3,49,45,"Schnyder, Walter",666
Fall 2020,Boston,18526,DS 2500,1,49,28,"Rachlin, John",601
Fall 2020,Boston,18527,DS 2501,1,40,28,"Rachlin, John",601
Fall 2020,"Seattle, WA",18529,CS 5001,4,60,57,"Evans, Abigail",215
Fall 2020,"Seattle, WA",18530,CS 5002,3,60,54,"Slaughter, Adrienne",714
Fall 2020,"Seattle, WA",18531,CS 5001,3,60,51,"Mullen, Tony",529
Fall 2020,"Seattle, WA",18532,CS 5002,4,60,36,"Bonaci, Tamara",88
Fall 2020,"Seattle, WA",18533,CS 5003,5,60,57,"Jelani, Drew",354
Fall 2020,"Seattle, WA",18534,CS 5003,6,60,51,"Mullen, Tony",529
Fall 2020,"Seattle, WA",18535,CS 5010,8,60,16,"Cross, Brian, Donaldson, Alex","155, 184"
Fall 2020,"Seattle, WA",18536,CS 5011,5,13,7,"Bonaci, Tamara",88
Fall 2020,"Seattle, WA",18537,CS 5011,6,13,9,"Bonaci, Tamara",88
Fall 2020,"Seattle, WA",18543,CS 5100,2,30,17,"Chandrasekar, Raman",117
Fall 2020,"Seattle, WA",18544,CS 5200,3,60,58,"Chhay, Bruce",128
Fall 2020,"Seattle, WA",18545,CS 5310,2,20,3,"Mullen, Tony",529
Fall 2020,"Seattle, WA",18546,CS 5340,5,30,28,"Evans, Abigail",215
Fall 2020,"Seattle, WA",18547,CS 5500,3,60,58,"Lash, Alexander",415
Fall 2020,"Seattle, WA",18548,CS 5520,1,30,20,"Slaughter, Adrienne",714
Fall 2020,"Seattle, WA",18549,CS 5600,2,30,19,"Rao, Vinayak",613
Fall 2020,"Seattle, WA",18550,CS 5610,2,30,29,"Jorgensen, Austin",367
Fall 2020,"Seattle, WA",18552,CS 5700,2,49,43,"Sun, Zhifeng",750
Fall 2020,"Seattle, WA",18551,CS 5800,4,60,39,"Lee, Hyonho",421
Fall 2020,"Seattle, WA",18553,CS 6120,2,30,9,"Bhagat, Rahul",71
Fall 2020,"Seattle, WA",18554,CS 6140,2,30,28,"Martell, Craig",473
Fall 2020,"Seattle, WA",18555,CS 6200,2,20,14,"Chandrasekar, Raman",117
Fall 2020,"Seattle, WA",18556,CS 6220,2,30,20,"Aguiar, Everaldo",10
Fall 2020,"Seattle, WA",18558,CS 6620,1,40,40,"Mullen, Tony",529
Fall 2020,Online,18560,CS 6949,1,40,14,"Mesch, Francisco",493
Fall 2020,"Seattle, WA",18561,CS 7180,2,15,8,"Chandrasekar, Raman",117
Fall 2020,"Seattle, WA",18559,CS 6650,1,60,59,"Gorton, Ian",281
Fall 2020,"Toronto, Canada",18564,CY 5010,3,25,1,"Sierra, Jose",702
Fall 2020,Online,18571,CS 5001,5,49,28,"Jump, Maria",369
Fall 2020,Online,18572,CS 5010,9,49,13,"Jump, Maria",369
Fall 2020,Online,18573,CS 5011,12,49,10,"Jump, Maria",369
Fall 2020,Online,18574,CS 5100,3,49,15,"Saripalli, Prasad",657
Fall 2020,Online,18575,CS 5200,4,79,70,"Feinberg, Daniel",225
Fall 2020,Online,18576,CS 5200,5,79,65,"Schedlbauer, Martin",663
Fall 2020,Online,18577,CS 5520,2,79,59,"Feinberg, Daniel",225
Fall 2020,Online,18578,CS 5600,3,79,29,"Jump, Maria",369
Fall 2020,Online,18579,CS 5610,3,79,76,"Annunziato, Jose",34
Fall 2020,Online,18582,CS 6140,3,49,13,"Arunagiri, Sara",36
Fall 2020,Online,18583,CS 6220,3,49,41,"Arunagiri, Sara",36
Fall 2020,"San Francisco, CA",18606,CS 5001,6,23,21,"Miller, Mark",503
Fall 2020,"San Francisco, CA",18607,CS 5002,5,30,22,"Tims, Jodi",768
Fall 2020,"San Francisco, CA",18608,CS 5003,7,23,21,"Miller, Mark",503
Fall 2020,"Silicon Valley, CA",18612,CS 5001,7,25,25,"Sellke, Sarah",673
Fall 2020,"Silicon Valley, CA",18613,CS 5002,6,45,43,"Jahanjou, Hamid",345
Fall 2020,"Silicon Valley, CA",18614,CS 5003,8,25,25,"Sellke, Sarah",673
Fall 2020,"Silicon Valley, CA",18623,CS 5500,4,45,45,"Gust, Philip",297
Fall 2020,"San Francisco, CA",18625,CS 5600,4,24,4,"Delange, Julien",172
Fall 2020,"Silicon Valley, CA",18627,CS 5610,4,40,40,"Gust, Philip",297
Fall 2020,"San Francisco, CA",18629,CS 5800,6,24,16,"Baeza-Yates, Ricardo",47
Fall 2020,"Silicon Valley, CA",18624,CS 5520,3,40,15,"Abu-Samaha, Mamoun",5
Fall 2020,"Silicon Valley, CA",18626,CS 5600,5,44,41,"Gust, Philip",297
Fall 2020,"Silicon Valley, CA",18628,CS 5700,4,40,22,"Saripalli, Prasad",657
Fall 2020,"Silicon Valley, CA",18630,CS 5800,7,40,27,"Bhardwaj, Anurag",74
Fall 2020,"Silicon Valley, CA",18631,CS 5800,8,35,25,"Mukund, Smruthi",527
Fall 2020,"Silicon Valley, CA",18632,CS 6140,4,40,21,"Bagherjeiran, Abraham",48
Fall 2020,"Silicon Valley, CA",18633,CS 6200,3,40,10,"Alonso, Omar",21
Fall 2020,"Silicon Valley, CA",18634,CS 7140,1,40,7,"Saripalli, Prasad",657
Fall 2020,"San Francisco, CA",18651,CS 5200,6,24,10,"Guerra Gomez, John Alexis",289
Fall 2020,"Silicon Valley, CA",18616,CS 5010,11,44,23,"Cheng, Zhuoqun",126
Fall 2020,"Silicon Valley, CA",18618,CS 5011,14,44,23,"Cheng, Zhuoqun",126
Fall 2020,"Silicon Valley, CA",18620,CS 5100,5,40,14,"Abu-Samaha, Mamoun",5
Fall 2020,"San Francisco, CA",18773,CS 5610,5,24,22,"Guerra Gomez, John Alexis",289
Fall 2020,Online,18857,CS 2801,5,25,8,"Hemann, Jason, Trypakis, Stavros","318, 782"
Fall 2020,Boston,18862,CS 4530,2,24,23,"Bell, Jonathan",64
Fall 2020,"Vancouver, Canada",18968,CS 5010,12,24,14,"Edmunds, Bethany",203
Fall 2020,"Vancouver, Canada",18969,CS 5011,15,24,14,"Edmunds, Bethany",203
Fall 2020,"Vancouver, Canada",18970,CS 5001,8,30,19,"Coady, Yvonne",138
Fall 2020,"Vancouver, Canada",18971,CS 5003,9,30,19,"Coady, Yvonne",138
Fall 2020,"Vancouver, Canada",18973,CS 5340,7,24,9,"Prpa, Mirjana",597
Fall 2020,"Vancouver, Canada",18975,CS 5100,6,24,14,"Hoshino, Richard",328
Fall 2020,"Vancouver, Canada",18976,CS 5002,7,30,22,"Hoshino, Richard",328
Fall 2020,Online,12984,CS 1200,16,40,37,"Guerin, Connor",288
Fall 2020,Online,19109,CS 1800,5,65,58,"Hescott, Ben",319
Fall 2020,Boston,19112,CS 2500,8,81,73,"Guha, Arjun",291
Fall 2020,Online,19163,CS 6949,2,60,29,"Cengic, Smajl",111
Fall 2020,Online,19164,CS 6949,3,30,15,"Vander Laan, Kathi",797
Fall 2020,Online,19243,CS 2501,18,81,73,"Lerner, Ben",427
Fall 2020,Boston,19257,CS 5500,6,25,23,"Bell, Jonathan",64
Fall 2020,Boston,19258,CS 6620,2,30,26,"Taglienti, Carmen",757
Fall 2020,Boston,19297,CS 7430,1,15,8,"Trypakis, Stavros",782
Fall 2020,Boston,19318,CS 6650,2,29,28,"Shin, Ji-Yong",695
Fall 2020,Online,19353,CS 7290,1,49,27,"Ness, Robert",543
Fall 2020,Online,19397,CS 1800,6,9999,131,"Hescott, Ben",319
Fall 2020,Online,19398,CS 1802,40,9999,131,"Stalfa, David",739
Fall 2020,Online,19399,CS 2500,10,9999,144,"Derbinsky, Nate",177
Fall 2020,Online,19400,CS 2501,19,9999,144,"Derbinsky, Nate",177
Fall 2020,"Seattle, WA",19440,CS 6760,1,15,14,"Bonaci, Tamara",88
Fall 2020,Online,19443,CS 6949,4,60,35,"Selinger, Ethan",672
Fall 2020,Online,19444,CS 6949,5,50,24,"Selinger, Ethan",672
Fall 2020,Boston,19525,CS 4910,1,10,5,"Boyland, John",92
Fall 2020,"San Francisco, CA",19568,CS 5004,1,30,25,"Sellke, Sarah",673
Fall 2020,"San Francisco, CA",19569,CS 5005,1,30,25,"Sellke, Sarah",673
